AU,Name,Cluster
1111,h1111-vm02.vcaantech.com,h1111 vSAN Cluster
1129,h1129-vm01.vcaantech.com,h1129 vSAN Cluster
1129,h1129-vm02.vcaantech.com,h1129 vSAN Cluster
1129,h1129-vm03.vcaantech.com,h1129 vSAN Cluster
1162,h1162-vm01.vcaantech.com,h1162 vSAN Cluster
1162,h1162-vm02.vcaantech.com,h1162 vSAN Cluster
1162,h1162-vm03.vcaantech.com,h1162 vSAN Cluster
1183,h1183-vm01.vcaantech.com,H1183 vSAN Cluster
1183,h1183-vm02.vcaantech.com,H1183 vSAN Cluster
1183,h1183-vm03.vcaantech.com,H1183 vSAN Cluster
1198,h1198-vm01.vcaantech.com,H1198 vSAN Cluster
1198,h1198-vm02.vcaantech.com,H1198 vSAN Cluster
1198,h1198-vm03.vcaantech.com,H1198 vSAN Cluster
1214,h1214-vm01.vcaantech.com,H1214 vSAN Cluster
1214,h1214-vm02.vcaantech.com,H1214 vSAN Cluster
1214,h1214-vm03.vcaantech.com,H1214 vSAN Cluster
4016,h4016-vm01.vcaantech.com,H4016 vSAN Cluster
4016,h4016-vm02.vcaantech.com,H4016 vSAN Cluster
4016,h4016-vm03.vcaantech.com,H4016 vSAN Cluster
4018,h4018-vm01.vcaantech.com,H4018 vSAN Cluster
4018,h4018-vm02.vcaantech.com,H4018 vSAN Cluster
4018,h4018-vm03.vcaantech.com,H4018 vSAN Cluster
4027,h4027-vm01.vcaantech.com,H4027 vSAN Cluster
4027,h4027-vm02.vcaantech.com,H4027 vSAN Cluster
4027,h4027-vm03.vcaantech.com,H4027 vSAN Cluster
4036,h4036-vm01.vcaantech.com,H4036 vSAN Cluster
4036,h4036-vm02.vcaantech.com,H4036 vSAN Cluster
4036,h4036-vm03.vcaantech.com,H4036 vSAN Cluster
4037,h4037-vm01.vcaantech.com,H4037 vSAN Cluster
4037,h4037-vm02.vcaantech.com,H4037 vSAN Cluster
4037,h4037-vm03.vcaantech.com,H4037 vSAN Cluster
4044,h4044-vm01.vcaantech.com,H4044 vSAN Cluster
4044,h4044-vm02.vcaantech.com,H4044 vSAN Cluster
4044,h4044-vm03.vcaantech.com,H4044 vSAN Cluster
4046,h4046-vm01.vcaantech.com,H4046 vSAN Cluster
4046,h4046-vm02.vcaantech.com,H4046 vSAN Cluster
4046,h4046-vm03.vcaantech.com,H4046 vSAN Cluster
4053,h4053-vm01.vcaantech.com,H4053 vSAN Cluster
